"asin","title","imgUrl","stars","reviews","price","category_id"
"B09YQV2SW7","Building Blocks, Developing Tactile Skills, Creativity, Color Sense, Early Education, Development, Building Block Toys for Boys and Girls (70PCS-02)","https://m.media-amazon.com/images/I/61+5Arz4oDL._AC_UL320_.jpg","4.0","6","9.99","270"
"B09W33ZDKV","JDEIFKF Volleyball Sling Bag Chest Bag Sport Volleyball Crossbody Bags For Mens Womens","https://m.media-amazon.com/images/I/61btv626VhL._AC_UL320_.jpg","4.2","59","25.99","270"
"B08T5S31KN","STAR WARS The Mandalorian Toy 9.5-inch Scale The Mandalorian Action Figure, Toys for Kids Ages 4 and Up","https://m.media-amazon.com/images/I/71HRhUUz83L._AC_UL320_.jpg","4.4","925","12.57","270"
"B0C49JSHW2","Infant Rattle Socks Toys 0 to 12 Months, Baby Wrist Rattle Foot Finder Socks Set, Birthday Holiday Present for Newborn Boy Girl 0/3/4/6/7/8/9/12/18 Months Kids Toddler, Gift Box Package","https://m.media-amazon.com/images/I/71TY8nOxEOL._AC_UL320_.jpg","4.6","17","7.95","270"
"B00MYL9H8O","Fisher-Price Laugh & Learn Musical Baby Toy, Storybook Rhymes, Electronic Learning Book With Lights & Songs For Ages 6+ Months","https://m.media-amazon.com/images/I/71xQmlUIgOL._AC_UL320_.jpg","4.7","4249","17.99","270"
"B07PQ1Z9J3","LeapFrog Learn & Groove Shakin' Colors Maracas includes One electronic maraca, one non-electronic maraca, Parent's Guide, Multicolor","https://m.media-amazon.com/images/I/71GY4BcJlmL._AC_UL320_.jpg","4.7","3078","14.97","270"
"B0BR7RVBBV","FUSPWEAO Beach Toys Sand Toys for Kids, 30PCS Dinosaur Sand Toys with Mesh Bag, Sand Castle Toys for Beach, Animal Dinosaur Sand Molds, Sandbox Toys for Toddlers Travel Beach Toys for Boys","https://m.media-amazon.com/images/I/8173H41TjtL._AC_UL320_.jpg","4.5","109","15.99","270"
"B00N9IVJQO","Nerf Dog 5in Spiral Squeak Football - Orange/Black","https://m.media-amazon.com/images/I/91sRt4xhwDL._AC_UL320_.jpg","4.6","2439","12.99","270"
"B075SNJSLC","Liberty Imports Junior Engineer Jackhammer Toy Construction Tool Drill with Earmuffs, Safety Goggles, and Accessories","https://m.media-amazon.com/images/I/71wmnZcmfKL._AC_UL320_.jpg","3.6","252","19.97","270"
"B091FXNDRC","PicassoTiles 200 Piece Large Construction Brick Building Blocks STEM Bricks Toy Set Creative Learning Early Education Playset 5 Colors 4 Unique Shapes Mix & Match Toys for Kids Boys Girls Child Age 3+","https://m.media-amazon.com/images/I/811HtwnNr4L._AC_UL320_.jpg","4.4","194","25.0","270"
"B08HCRSTY9","hahaland 5 Year Old Boy Birthday Gift Ideas - 5 in 1 STEM Toys for Boys 4-6, Take Apart Armored Fighting Vehicles Transform to Robot Toys for 5 Year Old Boys - Building/Construction Toys for Ages 5-7","https://m.media-amazon.com/images/I/81782YfKkNS._AC_UL320_.jpg","4.6","2732","37.5","270"
